model,group,layer_1based,kind,logical_parameters,payload_bytes,tensor_count,routed_parameters,attention_parameters,shared_parameters,active_linear_parameters
Kimi-K2.5,decoder,1,MLA + Dense,497500160,995000320,12,,101124096,,497483776
Kimi-K2.5,decoder,2,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,3,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,4,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,5,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,6,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,7,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,8,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,9,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,10,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,11,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,12,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,13,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,14,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,15,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,16,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,17,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,18,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,19,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,20,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,21,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,22,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,23,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,24,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,25,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,26,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,27,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
Kimi-K2.5,decoder,28,MLA + MoE,17059365248,9808554496,3470,16911433728,101124096,44040192,500236288.00000197
